School,Student,Examscore,LRTscore,AvsLRT
1,1,.26132,.61906,.16617
1,2,.13407,.2058,.16617
1,3,-1.7239,-1.3646,.16617
1,4,.96759,.2058,.16617
1,5,.54434,.3711,.16617
1,6,1.7349,2.1894,.16617
1,7,1.0396,-1.1166,.16617
1,8,-.12908,-1.034,.16617
1,9,-.93938,-.53806,.16617
1,10,-1.2195,-1.4472,.16617
1,11,2.4087,2.4374,.16617
1,12,.61073,2.1068,.16617
1,13,-1.8367,.040499,.16617
1,14,-.12908,1.1976,.16617
1,15,2.2031,2.52,.16617
1,16,1.2405,1.115,.16617
1,17,1.7349,1.0323,.16617
1,18,1.3101,.78436,.16617
1,19,-.62305,-1.1166,.16617
1,20,1.0396,-1.1993,.16617
1,21,-1.0291,-.37276,.16617
1,22,-1.2195,-1.3646,.16617
1,23,.32807,-.95132,.16617
1,24,-.49278,-2.3564,.16617
1,25,1.9003,-.042152,.16617
1,26,.89657,.3711,.16617
1,27,.073536,1.115,.16617
1,28,.19415,.040499,.16617
1,29,1.5062,.61906,.16617
1,30,1.9003,2.0241,.16617
1,31,.32807,-.62071,.16617
1,32,.89657,-1.1166,.16617
1,33,1.6618,.28845,.16617
1,34,-.77611,-.1248,.16617
1,35,.40267,.3711,.16617
1,36,.96759,1.0323,.16617
1,37,.47819,-.1248,.16617
1,38,.13407,.12315,.16617
1,39,2.3136,.61906,.16617
1,40,-.19761,.28845,.16617
1,41,.47819,-.29011,.16617
1,42,.82199,.78436,.16617
1,43,1.0396,-.29011,.16617
1,44,-.55511,-1.034,.16617
1,45,-1.3353,-.95132,.16617
1,46,-.55511,-2.3564,.16617
1,47,1.5062,.78436,.16617
1,48,-.93938,-.37276,.16617
1,49,2.3136,.78436,.16617
1,50,-.062088,-.70336,.16617
1,51,-.19761,.040499,.16617
1,52,-.19761,-.29011,.16617
1,53,2.0397,1.6109,.16617
1,54,1.6618,.3711,.16617
1,55,1.4395,1.6109,.16617
1,56,.32807,.3711,.16617
1,57,.073536,-.042152,.16617
1,58,.96759,-.29011,.16617
1,59,-1.0291,-.62071,.16617
1,60,1.7349,1.6109,.16617
1,61,2.4087,1.1976,.16617
1,62,-1.5267,-.62071,.16617
1,63,1.4395,.86701,.16617
1,64,1.5062,.53641,.16617
1,65,1.8138,.45376,.16617
1,66,.74723,1.2803,.16617
1,67,-1.0291,-1.2819,.16617
1,68,-.12908,-.1248,.16617
1,69,1.5792,.2058,.16617
1,70,1.3101,1.6935,.16617
1,71,-1.1186,-.86867,.16617
1,72,.89657,.86701,.16617
1,73,.26132,.3711,.16617
2,1,1.5792,.12315,.39515
2,2,1.2405,.70171,.39515
2,3,.61073,.28845,.39515
2,4,.47819,.70171,.39515
2,5,-1.1186,-.62071,.39515
2,6,1.7349,1.2803,.39515
2,7,2.4087,.61906,.39515
2,8,2.9247,.94967,.39515
2,9,2.7018,-.45541,.39515
2,10,1.3101,1.1976,.39515
2,11,1.5062,1.0323,.39515
2,12,-.12908,-1.2819,.39515
2,13,-.12908,-.53806,.39515
2,14,.61073,1.3629,.39515
2,15,3.134,1.0323,.39515
2,16,2.2031,1.2803,.39515
2,17,.54434,.3711,.39515
2,18,-.62305,-.45541,.39515
2,19,1.4395,.040499,.39515
2,20,1.0396,-.29011,.39515
2,21,.0043218,-.62071,.39515
2,22,.40267,.78436,.39515
2,23,-.62305,-.78602,.39515
2,24,1.3101,1.9415,.39515
2,25,-1.0291,-.86867,.39515
2,26,2.4087,1.9415,.39515
2,27,.82199,-.37276,.39515
2,28,.61073,.12315,.39515
2,29,2.7018,2.0241,.39515
2,30,1.7349,1.9415,.39515
2,31,.40267,1.6935,.39515
2,32,-1.9621,-.45541,.39515
2,33,.32807,1.3629,.39515
2,34,-1.4387,-2.7697,.39515
2,35,2.0397,.28845,.39515
2,36,.61073,-.45541,.39515
2,37,-.55511,-.1248,.39515
2,38,2.0397,.3711,.39515
2,39,-.62305,-1.6952,.39515
2,40,-1.1186,-.62071,.39515
2,41,.74723,.040499,.39515
2,42,1.8138,2.4374,.39515
2,43,1.9771,2.0241,.39515
2,44,-1.2195,.2058,.39515
2,45,.40267,1.2803,.39515
2,46,1.1094,2.1894,.39515
2,47,1.0396,1.6109,.39515
2,48,-.26516,-.53806,.39515
2,49,1.6618,.70171,.39515
2,50,2.103,2.1894,.39515
2,51,3.134,1.2803,.39515
2,52,.61073,-.45541,.39515
2,53,.61073,-.042152,.39515
2,54,-1.3353,-1.1166,.39515
2,55,-.85267,-1.1166,.39515
3,1,-.19761,-.042152,.51416
3,2,2.9247,1.3629,.51416
3,3,-.69951,1.3629,.51416
3,4,2.4087,1.4456,.51416
3,5,.89657,-.1248,.51416
3,6,.13407,-.53806,.51416
3,7,-.69951,.70171,.51416
3,8,.0043218,-.042152,.51416
3,9,-.062088,-1.8605,.51416
3,10,1.1758,.12315,.51416
3,11,1.9771,2.4374,.51416
3,12,-.26516,1.2803,.51416
3,13,.67876,-.62071,.51416
3,14,.26132,1.1976,.51416
3,15,.96759,.2058,.51416
3,16,1.5062,-.20746,.51416
3,17,1.3747,.3711,.51416
3,18,.26132,-.20746,.51416
3,19,1.8138,1.1976,.51416
3,20,.13407,.3711,.51416
3,21,-1.1186,-1.1166,.51416
3,22,.40267,.28845,.51416
3,23,1.5792,.70171,.51416
3,24,.74723,.61906,.51416
3,25,.40267,.28845,.51416
3,26,1.8138,1.2803,.51416
3,27,2.0397,2.4374,.51416
3,28,2.2031,1.8588,.51416
3,29,.82199,1.0323,.51416
3,30,2.0397,.94967,.51416
3,31,1.9771,2.4374,.51416
3,32,1.4395,.70171,.51416
3,33,1.5792,.94967,.51416
3,34,1.2405,1.0323,.51416
3,35,1.3747,.3711,.51416
3,36,.89657,1.1976,.51416
3,37,.82199,-.62071,.51416
3,38,2.103,.94967,.51416
3,39,-.33884,-.95132,.51416
3,40,1.0396,.040499,.51416
3,41,1.4395,.040499,.51416
3,42,.13407,.61906,.51416
3,43,1.1094,.2058,.51416
3,44,1.5062,.94967,.51416
3,45,-.93938,-.29011,.51416
3,46,-.26516,-.86867,.51416
3,47,.61073,1.2803,.51416
3,48,.74723,.53641,.51416
3,49,-.49278,.28845,.51416
3,50,-.19761,.61906,.51416
3,51,.96759,.53641,.51416
3,52,2.2031,-.042152,.51416
4,1,.67876,.3711,.091764
4,2,.47819,-.20746,.091764
4,3,.26132,1.8588,.091764
4,4,.19415,.12315,.091764
4,5,-1.7239,-1.2819,.091764
4,6,-.4198,-.53806,.091764
4,7,.40267,-.37276,.091764
4,8,-.19761,-.45541,.091764
4,9,.073536,.86701,.091764
4,10,-1.5267,-.86867,.091764
4,11,-.26516,-.29011,.091764
4,12,-.85267,-1.034,.091764
4,13,.32807,1.9415,.091764
4,14,-.85267,-.70336,.091764
4,15,.40267,-.042152,.091764
4,16,-.69951,-.20746,.091764
4,17,.67876,-.45541,.091764
4,18,2.5324,.86701,.091764
4,19,1.5792,.3711,.091764
4,20,-1.6237,-2.3564,.091764
4,21,-.33884,.28845,.091764
4,22,-.4198,-.1248,.091764
4,23,-.62305,.2058,.091764
4,24,1.3101,.61906,.091764
4,25,.67876,.94967,.091764
4,26,-.26516,-.86867,.091764
4,27,-2.2917,-.86867,.091764
4,28,-.69951,-1.1993,.091764
4,29,-1.4387,-1.7778,.091764
4,30,-.12908,.61906,.091764
4,31,.19415,-.042152,.091764
4,32,.54434,.53641,.091764
4,33,.67876,-.70336,.091764
4,34,-.062088,.94967,.091764
4,35,1.1094,.3711,.091764
4,36,-.69951,.78436,.091764
4,37,-.85267,.3711,.091764
4,38,-1.3353,-1.8605,.091764
4,39,-2.2917,-1.8605,.091764
4,40,.19415,-.53806,.091764
4,41,1.4395,.61906,.091764
4,42,.13407,.040499,.091764
4,43,-.55511,.040499,.091764
4,44,-.55511,-.95132,.091764
4,45,.89657,.12315,.091764
4,46,-.55511,-.20746,.091764
4,47,2.0397,1.7762,.091764
4,48,.82199,.040499,.091764
4,49,1.5792,-.53806,.091764
4,50,1.0396,.040499,.091764
4,51,2.103,2.2721,.091764
4,52,.54434,1.1976,.091764
4,53,1.9771,2.3547,.091764
4,54,.67876,1.5282,.091764
4,55,.74723,.70171,.091764
4,56,1.5062,2.1068,.091764
4,57,2.103,.86701,.091764
4,58,-.55511,-.70336,.091764
4,59,-.55511,-.62071,.091764
4,60,-.062088,.86701,.091764
4,61,-1.0291,.2058,.091764
4,62,-.62305,.12315,.091764
